clause_text,label
"['any purported assignment or transfer, by operation of law or otherwise, not having the prior written consent of airsopure shall be null and void and shall constitute a material breach of this agreement.']",Anti-Assignment
['neither party shall have the right to assign the present agreement or any part thereof to any third party other than affiliates without the prior written approval of the other party.'],Anti-Assignment
"[""except as permitted by the exclusivity exceptions, during the term, network affiliate shall neither engage nor permit a third party (excluding third party designees of ncm as provided hereunder) to provide, or itself provide, to any of network affiliate's theatres any of the services specifically set forth in the definition of service."", ""subject only to the exclusivity exceptions, ncm shall be network affiliate's exclusive representative with respect to the procurement of inventory (including without limitation all on-screen advertising) for the advertising services."", 'during the term, except as expressly provided in this agreement, including section 3.6 (policy trailer; branded slots); those provisions of part a of exhibit a that permit network affiliate to engage in certain lobby promotions; section 3.11 (grand openings, employee uniforms), collectively, the ""exclusivity exceptions"", network affiliate shall subscribe for and ncm shall be the exclusive provider to the theatres of the services specifically set forth in the definition of the ""service.""']",Exclusivity
"['without affecting strict product liability under mandatory applicable law, section 10, or the respective obligations of the parties under the confidentiaility agreement and except for breaches associated with the unauthorized use of intellectual property, in no event shall either party be liable to the other party for special, incidental, consequential, punitive or tort damages, including without limitation, any damages resulting from loss of use, loss of data, loss of profits or loss of business arising out of or in connection with the matters contemplated by this agreement, whether or not a party has been advised of the possibility of such damages.', 'without affecting section 10 or the respective obligations of the parties under the confidentiality agreement and except for any liability (i) relating to any breach associated with the unauthorized use of intellectual property, (ii) arising from the intentional breach or willful misconduct of a party, or (iii) arising from the non-compliance with any mandatory applicable law or regulation, the total aggregate liability of one party to another party for any claim relating to any breach of this agreement (or any purchase order or other agreement entered into in connection with this agreement) (a ""claim"") shall be limited to the aggregate amount of the purchase prices paid by distributor to accuray for products pursuant to this agreement (or any purchase order or other agreement entered into in connection with this agreement) during the twelve calendar months preceding the date of the notification to the other party of such claim less any amounts paid or payable in respect of any other claim of which the other party was notified during such twelve month period.']",Uncapped Liability
"['ontochem hereby grants to anixa a non-exclusive, fully paid-up, royalty-free, perpetual, irrevocable, transferable, worldwide license (with the right to grant and authorize sublicenses through multiple tiers) under any patents which ontochem or any of its affiliates own or control during the term of this agreement, to make, have made, use, sell, offer for sale and import the lead scaffold(s) and products that incorporate compounds from the lead scaffold(s).']",License Grant
"['the sub-advisor shall maintain proper and complete records relating to the services to be provided under this agreement for such period of time as may be required under applicable law, including (as applicable, in respect of the relevant discretionary funds) records with respect to the acquisition, holding and disposal of securities on behalf of the funds, details of all brokers used and the aggregate dollar amount of brokerage commission paid in that regard to each broker.', 'the sub-advisor shall provide to oaktree us promptly upon request any information available in the records maintained by the sub-advisor relating to the funds in such form as oaktree us shall request.']",Audit Rights
"[""subject to the foregoing, this agreement shall be binding upon and inure to the benefit of the parties hereto and their respective permitted successors and assigns; provided, however, calm may, without the prior written consent of xspa, assign or otherwise transfer its rights and obligations to an affiliate of calm or the acquirer of all or substantially all of the assets of calm; provided, however, that the prior written consent of xspa shall be required in connection with the assignment to an acquirer of all or substantially all of the assets of calm if such acquirer's primary business is an airport-based provider of spa services.""]",Change Of Control
"[""accordingly, (i) with respect to remainco's right and interest in and to the shared library materials, remainco, for itself and as representative of all other members of the remainco group, hereby grants to spinco (x) a perpetual (subject to section 4.4), irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in the spinco core field and (y) a perpetual (subject to section 4.4), irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in any field other than the remainco core field or the spinco core field and (ii) with respect to spinco's right and interest in and to the shared library materials, spinco, for itself and as representative of all other members of the spinco group, hereby grants to remainco (x) a perpetual (subject to section 4.4), irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in the remainco core field and (y) a perpetual (subject to section 4.4), irrevocable, non- exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in any field other than the spinco core field or the remainco core field."", 'remainco may sublicense the licensed spinco intellectual property to affiliates of remainco, even if they become affiliates after the distribution date, solely within the scope of its licenses in article 5, provided that such sublicense shall only be effective for such time as such entity remains an affiliate of remainco', 'spinco may sublicense the licensed remainco intellectual property to affiliates of spinco, even if they become affiliates after the distribution date, solely within the scope of its licenses in article 5, provided that such sublicense shall only be effective for such time as such entity remains an affiliate of spinco', 'spinco, for itself and as representative of all other members of the spinco group, hereby grants to remainco (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the spinco know- how currently or previously used in connection with the remainco business or otherwise in the possession of remainco or any member of the remainco group as of distribution date (the ""licensed spinco know-how""), for the continued operation of the remainco business and any future extensions of the remainco business in the remainco core field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the licensed spinco know-how for the continued operation of the remainco business and any future extensions of the remainco business in any field other than the remainco core field or the spinco core field; provided, however, the foregoing licenses shall not extend to (i) spinco know-how<omitted>licensed by spinco or any other member of the spinco group if and to the extent the licensing of same to remainco would constitute a breach of an agreement with any third party executed prior to the effective date or result in any expense to spinco or any member of the spinco group for payments to such third party or (ii) any intellectual property not owned by one or more members of the spinco group, or as to which no member of the spinco group has the right to grant sublicenses, as of the effective date.', 'remainco, for itself and as representative of all other members of the remainco group, hereby grants to spinco (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the remainco know-how currently or previously used in connection with the spinco business or otherwise in the possession of spinco or any member of the spinco group as of the distribution date (the ""licensed remainco know-how""), for the continued operation of the spinco business and any future extensions of the spinco business in the spinco core field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the licensed remainco know-how for the continued operation of the spinco business and any future extensions of the spinco business in any field other than the remainco core field or the spinco core field; provided, however, the foregoing licenses shall not extend to (i) remainco know-how licensed by remainco or any other member of the remainco group if and to the extent the licensing of same to spinco would constitute a breach of an agreement with any third party executed prior to the effective date or result in any expense to remainco or any member of the remainco group for payments to such third party or (ii) any intellectual property not owned by one or more members of the remainco group, or as to which no member of the remainco group has the right to grant sublicenses, as of the effective date.']",Affiliate License-Licensee
"['without prior written consent of the other parties, none of the parties may assign any or all of its rights and obligations under this agreement to any third party.']",Anti-Assignment
"['three million (3,000,000) shares of vnue common stock shall be awarded to promoter for performing promotion services as follows:<omitted>for every five (5) music venues that sign a contract with vnue, six hundred thousand (600,000) shares of vnue common stock shall be awarded to promoter; and if ten (10) music venues sign a contract with vnue before january 16, 2016, promoter will receive an additional bonus of three hundred thousand (300,000) shares of vnue common stock.']",Revenue/Profit Sharing
