clause_text,true_label,hybrid_label,used_model,bert_confidence,bert_margin,priority_score,human_corrected_label
"['talent represents and warrants that he has not granted nor will he grant to any other party any right, permission, or license to use the property in connection with the advertisement, sale, or promotion of the product or in connection with products that are identical or substantially similar to the product.']",Non-Compete,Exclusivity,SVM,0.3013,0.1153,4.0,
"['wade represents and warrants that during the term and in the territory, neither wade nor any of his agents, representatives or employees will solicit, initiate, or encourage any proposal for an endorsement by wade of any innerwear to commence during the term, or participate in any discussions or negotiations for the same.']",Non-Compete,Exclusivity,SVM,0.1409,0.0198,4.0,
"['the parties acknowledge that nothing in this agreement shall limit or restrict xencor, itself or with or through any third party, from developing and using any process (except for the process) for the manufacture of any of its products, including the product, provided that no bii confidential information and know-how is used and xencor adheres to its confidentiality and non-use obligations hereunder and complies with the ownership of intellectual property and improvements as set forth in section 8 below.']",Competitive Restriction Exception,Uncapped Liability,SVM,0.1682,0.049,4.0,
"['for greater certainty, ""new technology"" shall exclude any (x) modification to philips pre-existing intellectual property rights (which, shall exclude any intellectual property rights forming part of the ""purchased assets"" under the purchase agreement) and (y) developments developed not for the products (collectively, ""philips retained product ip\'), provided that philips and its affiliates hereby grant to customer under any such intellectual property rights, which are applicable or used for the manufacturing of the product, a non- exclusive, non-transferable (except in accordance with clause 18.4 (assignment)), irrevocable, world-wide, fully paid-up license, without the right to grant sub-licenses, to make, have made, sell or commercialize in any other way the product.', ""customer grants to philips, during the term, a non-exclusive, royalty-free, non-transferrable right to make, have made, use, sell, reproduce, adapt, distribute, or otherwise use or practice customer's intellectual property rights solely in connection with manufacturing of the products and packaging to customer pursuant to this agreement.""]",License Grant,Non-Transferable License,SVM,0.3383,0.0945,4.0,
"['sfj shall use commercially reasonable efforts to obtain from each third party contractor that sfj or its affiliate proposes to engage to conduct activities under or in connection with this agreement on behalf of sfj or its affiliates (i) an assignment, (ii) an exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers, or (iii) a non‑exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers ((i) through (iii) in order of preference), to pb of any trial invention that such third party contractor conceives, discovers, develops or otherwise makes in connection with activities conducted relating to this agreement.']",Exclusivity,Irrevocable Or Perpetual License,SVM,0.2909,0.144,4.0,
"['ppg shanghai hereby grants to distributor during the term, subject to the terms and conditions hereinafter specified, a limited, nonexclusive, nonassignable and nontransferable right to use the ppg trademarks in the territory for or in connection with its advertisement, promotion, sale and distribution of products.']",License Grant,Non-Transferable License,SVM,0.3721,0.1231,4.0,
"['spinco and remainco agree and acknowledge that, although remainco was responsible for publishing the current forty-second (42nd) edition of the steam book, as of the distribution date, all rights, responsibilities, duties and obligations related to the publication, distribution and sale of this edition shall be transferred to spinco.']",Ip Ownership Assignment,Unlimited/All-You-Can-Eat-License,SVM,0.3029,0.0844,4.0,
"['in the event that you use, sell or distribute unauthorized products or services, and do not cease the use, sale, or distribution of unauthorized services or products within ten (10) days after written notice is given to you, we reserve the right to terminate this agreement and/or charge you a fee of one hundred and no/100 dollars ($100.00) for each day that you fail to comply with our demand to cease the use, sale or distribution of unauthorized products or services, which is a reasonable estimate of the damages we would incur from your continued use, sale or distribution of unauthorized products or services, and not a penalt']",Liquidated Damages,License Grant,SVM,0.2134,0.1085,4.0,
"[""each purchaser licensee may grant sublicenses of the licenses granted to it pursuant to section 2.2: (i) to any (for the avoidance of doubt, and without limiting any other provision of this ip agreement, current or future) direct or indirect subsidiary of purchaser (but only for so long as such person remains such a subsidiary); (ii) to any other person in connection with the sale or disposition of substantially all of the assets of a business or product line of any purchaser licensee; (iii) other than with respect to section 2.2(a), for the purpose of any person's (including resellers, distributors, and oems) distribution of products licensed under section 2.2; (iv) other than with respect to section 2.2(a), to any person (including oems, jdms, suppliers, contractors, and subcontractors) solely for the purpose of, and to the extent necessary for, such person to perform any service (including any service with respect to the design, manufacture, import, export, or supply of any product, service, or system in the business or any components thereof) for a purchaser licensee, and not for the direct benefit of such person or any other person, (v) other than with respect to section 2.2(a), to a customer of a purchaser licensee for such customer's use of a product licensed under section 2.2; or (vi) other than with respect to section 2.2(a), with respect to software, to any person for the purpose of such person's development of software that is compatible or interoperates with a product licensed under section 2.2.""]",Affiliate License-Licensee,No-Solicit Of Employees,SVM,0.1742,0.084,4.0,
"['for greater certainty, ""new technology"" shall exclude any (x) modification to philips pre-existing intellectual property rights (which, shall exclude any intellectual property rights forming part of the ""purchased assets"" under the purchase agreement) and (y) developments developed not for the products (collectively, ""philips retained product ip\'), provided that philips and its affiliates hereby grant to customer under any such intellectual property rights, which are applicable or used for the manufacturing of the product, a non- exclusive, non-transferable (except in accordance with clause 18.4 (assignment)), irrevocable, world-wide, fully paid-up license, without the right to grant sub-licenses, to make, have made, sell or commercialize in any other way the product.']",Irrevocable Or Perpetual License,Non-Transferable License,SVM,0.2947,0.017,4.0,
['distributor may not sell or license products directly to end use customers without the express written consent of netgear.'],No-Solicit Of Customers,Anti-Assignment,SVM,0.276,0.1574,4.0,
