clause_text,label
"['company shall not specify the business practices of ma, nor regulate the manner in which ma shall operate its business, provided that ma (a) conducts business in a manner that reflects favorably at all times on the technology sold and the good name, goodwill and reputation of company and its affiliates<omitted>']",Non-Disparagement
"['ma may not assign, sell, lease or otherwise transfer in whole or in party any of the rights granted pursuant to this agreement without prior written approval of company.']",Anti-Assignment
['initial order commitment - ma commits to purchase a minimum of 100 units in aggregate within the territory within the first six months of term of this agreement.'],Minimum Commitment
"['company hereby grants ma, during the term of this agreement, the right to use company and/or company trade names, trademarks or service marks on technology or in advertising or promotion relating directly to these products.', 'subject to the terms and conditions of this agreement, company hereby grants to ma the right to advertise, market and sell to corporate users, government agencies and educational facilities (""clients"") for their own internal language learning, soft skills and communication purposes only, and not for remarketing or redistribution, and not for use in a data center environment for multiple users clients, unless otherwise agreed to by company prior in writing, the technology listed in schedule a of this agreement, and to sell and/or bundle technology maintenance for the technology and to provide first line technical support and implementation services for the technology in the territories listed in schedule a of this agreement, providing ma meets the criteria required for delivering services according to schedule a.', 'ma is authorized to resell technology within the following territory according to the terms of the agreement:\n\nworldwide']",License Grant
"['ma shall keep accurate records of the sales of the technology and maintenance, including client registration cards and shall make these records available for review by a representative of company within ten (10) business days following the end of each month.']",Audit Rights
"['the foregoing states the entire liability of company with respect to infringement of intellectual property rights.', ""company's liability shall not exceed the fees that ma has paid under this agreement."", 'company is not liable for incidental, special or consequential damages for any reason (including loss of data or other business or property damage), even if foreseeable or if ma or customer has advised of such a claim.', 'in no event shall company be liable to ""ma"", its clients, or any third party for any tort or contract damages or indirect, special, general, incidental or consequential damages, including but not limited to, loss of profits or anticipated profits and loss of goodwill, arising in connection with the use (or inability to use) or distribution of the technology for any purpose whatsoever.', ""company's sole and exclusive liability for the warranty provided in subparagrah (a) hereof shall be to correct the technology to operate in substantial accordance with its then current specifications or replace, at its option, the technology not in compliance with company's and company' published specifications regarding the technology; provided, any claim for breach of warranty under subparagraph (a) hereof must be made in writing within (90) days from date of shipment""]",Cap On Liability
"[""company's sole and exclusive liability for the warranty provided in subparagrah (a) hereof shall be to correct the technology to operate in substantial accordance with its then current specifications or replace, at its option, the technology not in compliance with company's and company' published specifications regarding the technology; provided, any claim for breach of warranty under subparagraph (a) hereof must be made in writing within (90) days from date of shipment.""]",Warranty Duration
"['in the event that licensor grants to another vod or pay-per-view (""ppv"") service provider in the u.s. or the territory the right to distribute or exhibit any licensed program on an earlier availability date, then licensor shall also grant to rogers the right to distribute and exhibit such licensed program on such earlier availability date, on the terms provided herein.', 'if licensor enters, or has entered, into an agreement or series of agreements (including side letters, understandings or arrangements, whether oral or written, whether formal or informal, whether now or hereafter effective, or whether on a long-term basis or short-term basis) with a third party for the distribution and exhibition of licensed programs in the u.s. or the territory on a vod basis, or any other basis that permits the downloading of such licensed programs and the subsequent viewing of such licensed programs by a residential subscriber, on terms (including, without limitation, license fees, copyright royalty payments, encoding fees and obligations, and marketing support) that are more favourable than those contained in this agreement, then rogers has the right to incorporate, or substitute, as the case may be, such term or terms into this agreement, effective as of the date on which such term or terms were accorded to the third party and for the balance of the period such term or terms are applicable to such third party.', 'licensor shall provide to rogers, no later than february 28 in each year, a sworn statement of a senior officer of licensor, or a certificate of the auditors of licensor, confirming that, during the immediately preceding calendar year, licensor did not enter into such an agreement or series of agreements or, if it did enter into such agreement(s), confirming the effective date thereof and identifying the terms contained therein that are more favourable than those contained in this agreement.']",Most Favored Nation
"[""notwithstanding any other provision of this agreement, rogers may terminate this agreement, at any time, upon sixty (60) days' prior written notice to licensor.""]",Termination For Convenience
"['this agreement may not be assigned, sold or transferred without the prior written consent of the other party.', 'notwithstanding the foregoing, rogers may, without consent, assign its rights and obligations under this agreement in whole or in part to: (i) a person that directly or indirectly controls, is controlled by or is under common control with rogers; or (ii) a purchaser of all or substantially all of the assets used in connection with the rod service. a change of control of rogers shall not be considered an assignment of this agreement.', 'any purported assignment, sale, or transfer in contravention of this section shall be null and void.']",Anti-Assignment
"['for so long as rogers is required by applicable law to pay copyright royalties relating to licensed programs hereunder, licensor shall reimburse rogers for 50% of any such royalties actually paid by rogers, calculated on a rolling basis during the term and payable monthly.', 'rogers shall pay to licensor a fee (the ""license fee""), which shall be equal to fifty (50)% of retail revenues.', 'in consideration for various services and activities that rogers performs for the benefit of licensor during the term, licensor agrees to pay to rogers an amount which shall be equal to ten (10)% of license fees, calculated on a rolling basis during the term and payable monthly.', 'for so long as rogers is required by applicable law to contribute a percentage of its gross annual revenues from the rod service to an independently-administered canadian program production fund, licensor shall reimburse rogers for 50% of the amount required to be remitted to such production fund by rogers in respect of the exhibition of licensed programs (the ""production fund commitment"").']",Revenue/Profit Sharing
"['licensor shall make available to rogers, on a free trial basis and at no cost to rogers, not less than ten (10) licensed programs at all times during the term (each, a ""promotional program"") for distribution and exhibition on the rod service to promote the licensed programs and the rod service.']",Minimum Commitment
"['during the term, rogers shall have the non-exclusive right to distribute and exhibit each licensed program on a vod basis for a period of ninety (90) consecutive days, or such longer period as may be agreed to by rogers and licensor (the ""license period"").', 'licensor grants to rogers the non-exclusive license and right to distribute and exhibit in canada (the ""territory"") all entertainment programming to which licensor owns or controls the vod distribution and exhibition rights in the territory (collectively, ""licensed programs"") to residential subscribers of rogers\' digital cable television service on a video-on-demand (""vod"") basis.']",License Grant
['multiple viewings of the licensed program shall be permitted during the viewing period for no additional fee and all such viewings shall be considered a single exhibition of the licensed program for the purposes of calculating license fees hereunder.'],Unlimited/All-You-Can-Eat-License
"[""during the term, and for a period of twelve (12) months thereafter, rogers (and its representatives) shall have the right, upon reasonable prior written notice to licensor, and during regular business hours, to inspect and/or audit licensor's books and records to confirm compliance with licensor's obligations under this section.""]",Audit Rights
"['except with respect to any claim or liability arising from an infringement of any third party intellectual property right, in no event shall either party be liable for any special, indirect, consequential, punitive or incidental damages of any kind.']",Uncapped Liability
"['except with respect to any claim or liability arising from an infringement of any third party intellectual property right, in no event shall either party be liable for any special, indirect, consequential, punitive or incidental damages of any kind']",Cap On Liability
"['during the license term (which is identified in the deal terms), producer agrees that convergtv has the exclusive right to exercise the rights granted to it under this agreement with respect to the program, including those in section 1, within the licensed territory.']",Exclusivity
"['revenue share as specified in this content distribution and license agreement.', 'the revenue share for the program is stated in exhibit b.']",Revenue/Profit Sharing
"['producer further grants to convergtv the right and license to distribute and re-distribute, including relicensing or sublicensing, the program at such dates and times as are determined by convergtv in its sole discretion.', 'for the license term and within the licensed territory, producer hereby grants to convergtv a right and license to distribute the program, file or video listed on the deal terms above (the ""program"") consisting of<omitted>episodes (series) or<omitted>one-offs, for unlimited runs for the license term through convergtv channels and/or other distribution outlets, in accordance with the license rights.', '""licensed rights"" to convergtv and convergtv channels and/or distribution outlets x all, including but not limited to: xsimultaneous internet streaming x ott television x internet protocol television x radio, short wave, microwave, fiber optic x alternative, secondary and specialty distribution x stored as vod, content distribution networks/company servers x full television broadcast rights: x free: terrestrial, cable, satellite x pay: terrestrial, cable, satellite x direct satellite ip distribution systems', 'producer further grants to convergtv the right and license to create (re-edit), at its sole cost and expense, new and different versions of the program, create foreign language, subtitled or translated versions of the program as well as to create closed captioned versions of the program, including ntcs, pal, seacam standards, or other standards, including those yet to be developed.', 'the grant of rights and license pursuant to this section 1 shall include, but not be limited to, the right of convergtv to distribute and re-distribute all or any portions of the program and promotional works, including excerpts therefrom, and any new and different versions of the program, on simultaneous internet transmission or streaming, internet protocol television and any television networks and stations, and/or other distribution outlets, via domestic or foreign television signals, as well as through catv and dbs systems, satellite, microwave, fiber optic and/or other modes of distribution yet to be developed, but which may be utilized by convergtv in the future.', 'producer further grants to convergtv the right and license to utilize any and all footage from the program for promotional and marketing purposes related to the distribution of the program and for promotion of channels or other distribution methods.', 'producer further grants to convergtv the right and license to distribute the program on any convergtv channel, and/or other distribution outlets, that exists today or that is created or developed in the future and this right includes the right to distribute on any channels of a convergtv affiliate and/or other distribution outlets without limitation.']",License Grant
"['producer further grants to convergtv the right and license to distribute the program on any convergtv channel, and/or other distribution outlets, that exists today or that is created or developed in the future and this right includes the right to distribute on any channels of a convergtv affiliate and/or other distribution outlets without limitation.']",Affiliate License-Licensee
