clause_id,clause_text,true_label,bert_label,svm_label,hybrid_label,used_model,bert_confidence,bert_margin,clause_length,short_clause
0,"['except for breach of confidentiality obligation hereunder, and to the extent permitted by applicable law, in no event shall either party be liable for special, punitive, indirect, incidental or consequential damages, including without limitation loss of use, data or lost profits, even if it has been advised of the possibility of such damages, whether under this agreement, in tort or otherwise.']",Cap On Liability,Cap On Liability,Uncapped Liability,Uncapped Liability,SVM,0.6799,0.4894,61,False
1,"['this agreement shall inure to the benefit of and be binding upon the successors and assigns of the parties hereto; provided, however, that neither party shall transfer or assign this agreement without the prior written consent of the other party, such consent not to be unreasonably withheld, except where such assignment is by cpdc to any successor or subsidiary organization created within [***] of the effective date of this agreement, which assignment may be completed without the prior written consent of fusion.']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9346,0.923,82,False
2,['the sub-advisor may not assign (within the meaning of the advisers act) its rights and obligations under this agreement without the prior written consent of oaktree us.'],Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9343,0.9243,27,False
3,"['until a release condition (as defined in section 8.6) occurs and the conditions of section 8.7 have been satisfied, bank of america shall not permit access to or use of the source code, except as expressly provided herein.', 'bank of america may temporarily release the source code for this purpose only, but all copies of the source code shall be returned to the designated storage location as soon as the verification is completed.', 'bank of america shall reproduce in all copies of the source code made by bank of america any proprietary or confidentiality notices contained in the source code when originally delivered by supplier.', 'bank of america shall establish a secure receptacle in which it shall place the source code and shall put the receptacle under supervision of one or more of its officers, whose identity shall be available to supplier at all times.', 'bank of america shall notify supplier of the dates on which any such verification will be conducted, and the results thereof.', 'supplier grants bank of america the right to duplicate the source code only as necessary to preserve and safely store the source code and as expressly permitted in this section.', 'any or the following events shall be release conditions for purposes of this section: (a) supplier defaults on any of its maintenance obligations herein; (b) supplier ceases to provide maintenance for the software; (c) supplier ceases doing business in the ordinary course, files or has filed against it a petition under bankruptcy code, becomes insolvent or has a receiver appointed for all or a substantial part of its business; or (d) bank of america terminates this agreement for cause pursuant to the terms hereof.', ""if a release condition has occurred, bank of america may immediately release the source code for the purposes described in section 8.8, following the issuance of a written statement to supplier by bank of america's executive management, stating that a release condition has occurred."", 'with each delivery of software to bank of america hereunder, supplier shall deliver to bank of america the source code for all software and for all updates, upgrades and new releases of the software.', 'upon delivery of the source code to bank of america by supplier, including in connection with any upgrade, update or new release, bank of america shall have the right to verify the source code for accuracy, completeness and sufficiency, and to confirm that it compiles to the pertinent object code of the software.']",Source Code Escrow,Post-Termination Services,Source Code Escrow,Source Code Escrow,SVM,0.1606,0.0668,411,False
4,"['spinrecords.com hereby ------------------------------------------- grants nettaxi a nonexclusive, worldwide, nontransferable, revocable, royalty free license to display and distribute the, and make derivative works from the spinrecords.com brand features and any enhancements, modifications or improvements thereto as necessary to carry out the terms of this agreement.', 'nettaxi hereby grants to ----------------------------------------- spinrecords.com a non-exclusive, worldwide, nontransferable, revocable, royalty free license to use the nettaxi brand features as the same may be modified from time to time for the purposes of this agreement']",Non-Transferable License,License Grant,License Grant,License Grant,Agreement,0.412,0.2096,80,False
5,"['no actions, regardless of form, arising out of this agreement, may be brought by distributor more than one (1) year after the cause of action has arisen.', 'in no event shall jrvs be liable for costs of procurement of substitute products or services, lost profits or any consequential, special, incidental, or indirect damages, however caused and on any theory of liability (including negligence or strict liability), arising out of this agreement.', 'in the event of termination by either party in accordance with any of the provisions of this agreement, neither party shall be liable to the other, because of such termination, for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of either party.', ""in no event shall jrvs's liability arising out of this agreement exceed the amount received by jrvs from the distributor hereunder for the product giving rise to the liability.""]",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6952,0.5134,166,False
6,"[""developer may also terminate this agreement by giving two (2) weeks' notice in writing to val.""]",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,Agreement,0.8314,0.8038,16,True
7,"['fusion may terminate this agreement by providing written notice to the cpdc where: (a) [***] following the effective date of this supply agreement, fusion may terminate this agreement without cause by providing cpdc with [***] prior written notice.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8383,0.8081,38,False
8,"['supplier further agrees that it will not produce, cause to be produced or assist in the production of more units than are specified by purchaser nor will supplier produce, cause to be produced or assist in the production of any product or item not specifically requested by purchaser using any or all of the playboy properties or any trademark, copyright, designations, names, phrases, designs or symbols similar to any or all of the playboy properties during or at any time after the completion of merchandise requested by this contract.']",Non-Compete,Non-Compete,Covenant Not To Sue,Covenant Not To Sue,SVM,0.2544,0.1549,89,False
9,"['upon termination of this agreement, galaxy may, at its sole discretion accept inventory returns of products.']",Post-Termination Services,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.6338,0.6026,16,True
10,"[""subject to the provisions of this agreement including the provisions of article 8, changepoint hereby grants to customer and customer hereby accepts from changepoint the perpetual, personal, non-transferable and non-exclusive software licenses to use the licensed software for customer's internal business purposes."", ""subject to the terms and conditions of this agreement, changepoint hereby grants to corio a fee-bearing, irrevocable, nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement) license in the territory to (i) reproduce the software in machine executable object code format only for installation on the corio servers; (ii) install multiple copies of the software on corio's servers which will be made remotely accessible to corio's customers for their internal business purposes, (iii) permit limited access to and use of the software by customers through corio servers solely for such customer's internal business purposes; (iv) sublicense an unlimited number of customers to access and use the software only through the installation on corio servers solely for such customer's internal business purposes; and (v) use changepoint's tools and utilities, if any, subject to any restrictions placed on the changepoint by third party software providers and payment of any applicable fees required by such third parties, to configure, integrate and manage the software.""]",Irrevocable Or Perpetual License,License Grant,Non-Transferable License,Non-Transferable License,SVM,0.3914,0.1773,205,False
11,"['gsk shall return to theravance all available formulated and api stocks that contain a theravance compound and which are then held by gsk or cause such api stocks to be provided to theravance if held by a vendor or other third party on behalf of gsk.', 'so long as this agreement remains in effect and for a period of one (1) year thereafter, neither gsk nor any of its affiliates may make any public disclosure of any holdings of or disposition of beneficial ownership of theravance voting securities unless such disclosure is approved in advance in writing by theravance, such approval not to be unreasonably withheld or delayed.', 'if after termination of this agreement either party subsequently develops and commercializes any long- acting β2 adrenoceptor agonist for the treatment / prophylaxis of respiratory diseases which (i) was never a pooled compound or collaboration product or (ii) was a gsk discontinued compound or a theravance discontinued compound, it will pay to the other party a royalty on net sales of any such products at the rate of 3% for a single-agent product and 2% for the first combination product for a period of 15 years from the date of launch on a country-by-country basis; provided, however, that this royalty shall not apply to any compound or product (including new product line extensions and/or re-formulation work) where the original compound or product is, as of the date of signature of this agreement, already commercialized.', ""gsk shall, at its sole expense, transfer to theravance, or shall cause its designee(s) to transfer to theravance, ownership of all regulatory filings made or filed for any terminated development collaboration product (to the extent that any are held in gsk's or such designee(s)'s name), but only where the terminated collaboration product contains a theravance compound as a single agent and such transfer to be as permitted<omitted>by applicable laws and regulations."", ""in the event that this agreement is terminated by theravance pursuant to section 14.2 for material breach by gsk: (i) gsk shall, at its sole expense, promptly transfer to theravance copies of all data, reports, records and materials in its possession or control that relate to the theravance compounds and return to theravance, or destroy at theravance's request, all relevant records and materials in its possession or control containing confidential information of theravance (provided that gsk may keep one copy of such confidential information of theravance for archival purposes only in accordance with section 10.1). (ii) gsk shall, at its sole expense, transfer to theravance, or shall cause its designee(s) to transfer to theravance, ownership of all regulatory filings made or filed for any collaboration product that contains a laba as a single agent (to the extent that any are held in gsk's or such designee(s)'s name), and such transfer to be as permitted by applicable laws and regulations; otherwise gsk shall cooperate as necessary to permit theravance to exercise its rights hereunder."", ""if gsk terminates a collaboration product at any time after initiation of the first phase iii study concerning such collaboration product, and development of all other collaboration products and pooled compounds have been discontinued for technical failure and/or commercial failure, then at the sole election of theravance, the following shall apply: (a) gsk shall, at its sole expense, promptly transfer to theravance copies of all data, reports, records and materials in its possession or control that relate to the theravance compounds and return to theravance, or destroy at theravance's request, all relevant records and materials in its possession or control containing confidential information of theravance (provided that gsk may keep one copy of such confidential information of theravance for archival purposes only in accordance with section 10.1). (b) gsk shall, at its sole expense, transfer to theravance, or shall cause its designee(s) to transfer to theravance, ownership of all regulatory filings made or filed for the terminated development collaboration product that contains a laba as a single agent (to the extent that any are held in gsk's or such designee(s)'s name), such transfer to be as permitted by any third party licenses or other such prior rights and applicable laws and regulations, otherwise gsk shall cooperate as necessary to permit theravance to exercise its rights hereunder."", 'during the term of this agreement and for a period of one (1) year after the termination or expiration of this agreement, gsk shall obtain and/or maintain at its sole cost and expense, product liability insurance (including any self-insured arrangements) in amounts which are reasonable and customary in the u.s. pharmaceutical industry for companies of comparable size and activities']",Post-Termination Services,Post-Termination Services,Ip Ownership Assignment,Ip Ownership Assignment,SVM,0.3629,0.2489,761,False
12,"[""no transfer, amendment, waiver, supplement, assignment or other modification of this transaction (other than the pledge of this transaction to the master servicer pursuant to the pooling and servicing agreement) shall be permitted by either party unless moody's and fitch have been provided notice of the same and confirm in writing (including by facsimile transmission) that they will not downgrade, qualify, withdraw or otherwise modify its then-current rating of the certificates; provided however that except with respect to a transfer at the direction of ubs, nothing in this provision shall impose any obligation on ubs to give notice to any rating agency.""]",Anti-Assignment,Anti-Assignment,Termination For Convenience,Termination For Convenience,SVM,0.2642,0.0933,102,False
13,"['any payments made in order to satisfy the ""minimum fee"" which can be characterized as an advance of amounts due from advertising clients which is ""earned but not yet paid"" shall be deducted from the following year\'s payments when such amounts have in fact been collected.', ""the minimum fee shall be prorated to account for (i) any periods during which network affiliate's annual attendance base in the theatres is lower than the base amount, and (ii) reductions in revenue associated with network affiliate's rejection of content as permitted under section 3.4."", 'for each twelve-month period following the effective date during the term, and as long as network affiliate\'s attendance base in the theatres for the twelve (12) month period is equal to or greater than 400,000 patrons (the ""base amount""), the amount paid by ncm pursuant to section 7.1(b) shall be not less than $ .17 per theatre patron during such period with such amount increasing by 5% on each anniversary of the effective date (the ""minimum fee"").']",Minimum Commitment,Minimum Commitment,Minimum Commitment,Minimum Commitment,Agreement,0.3281,0.0754,168,False
14,"['in january of each calendar year constellation shall allow, at the written request and expense of the hof entities, the hof entities the right to audit during normal business hours all relevant constellation records related to new business generated during the immediately preceding calendar year.']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8542,0.8405,45,False
15,['the company may in its discretion and at its option terminate this agreement at any time after the minimum period upon five days prior written notice to maimon.'],Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8377,0.8124,28,False
16,"['""warranty period"" means a period of [***]from the relevant supplier\'s shipment of the product.', 'if a product fails to comply with the foregoing warranty, the relevant supplier shall, at its option, either [***]such product, or, in the event the foregoing options are not commercially practicable, [***]to the company any amounts paid for the applicable product.', 'each of the suppliers warrants that the products shall comply with the specifications and documentation agreed by the relevant supplier and the company in writing that is applicable to such products for the warranty period.']",Warranty Duration,Warranty Duration,Warranty Duration,Warranty Duration,Agreement,0.3337,0.2509,90,False
17,"['licensee shall be entitled to grant sublicenses under its license pursuant to section 2.1 to affiliates only, provided that any sublicense granted by licensee under this section 2.1.2 shall be made through a written agreement in the english language and shall be consistent with the terms of this agreement.', ""for those countries where a specific license is required for a joint owner of a joint invention or joint improvement to practice such joint invention or joint improvement, in such country, each party hereby grants to the other party a perpetual, irrevocable, non-exclusive, worldwide, royalty-free, fully paid-up license, transferable and sublicensable, under such party's right, title and interest in and to such joint invention or joint improvement to freely exploit such joint invention or joint improvement in such country, subject to the terms and conditions of this agreement and the licenses granted hereunder.""]",Affiliate License-Licensee,License Grant,Irrevocable Or Perpetual License,Irrevocable Or Perpetual License,SVM,0.305,0.1534,142,False
18,"['notwithstanding anything to the contrary in this agreement, both the owner and servicer agree that the agent shall be deemed to be a third-party beneficiary of this agreement and has the authority to enforce the provisions hereof.']",Third Party Beneficiary,Anti-Assignment,Third Party Beneficiary,Third Party Beneficiary,SVM,0.112,0.0012,37,False
19,"['upon termination of the contract, the agreement set forth in clause 5 (""intellectual property rights and prohibition of transfer to third parties"") and clause 6 (""economic rights"") will remain into force.']",Post-Termination Services,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.4512,0.3376,31,False
20,"['vs shall not refer that opportunity to any other third party provider unless ppd declines to bid on such opportunity or does not offer the service in question.', 'unless otherwise required by a particular sponsor, ppd shall not refer that opportunity to any other third party provider unless vs declines to bid on such opportunity or does not offer the service in question.', 'in the event that, during the term of this agreement, vs desires to enter into the same or substantially similar commitments with a ppd competitor for imaging services outside of the designated therapeutic areas (defined herein or in any amendment hereto), vs shall first notify ppd regarding the same and ppd shall have a right, for a period of 45 days following receipt of such notice (the ""election period""), to elect to include such imaging services as ""preferred services"" hereunder (the ""right of first refusal"").']",Rofr/Rofo/Rofn,Non-Compete,Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,SVM,0.1503,0.0111,148,False
21,"[""consultant hereby gives and grants to adams golf the exclusive right and license to use consultant's endorsement in connection with the manufacture, sale, distribution, advertising and promotion of product in the contract territory."", ""during the term of this agreement, unless otherwise authorized at the sole discretion of adams golf in writing, consultant shall not: a.give the right to use or permit the use of consultant's name, facsimile signature, nickname, voice or likeness to any other manufacturer or seller of product;\n\nb.sponsor or endorse product made or sold by any other manufacturer or seller; or\n\nc.serve as a consultant or advisor of any other manufacturer or seller of product."", 'during the term of this agreement, consultant shall exclusively play/use the mandatory product.']",Exclusivity,License Grant,License Grant,License Grant,Agreement,0.3778,0.2048,119,False
22,"['in consideration of providing the services set forth in exhibit b, the company agrees to pay to contractor [ ** ] percent ([ *∗ ]%]) of company\'s gross invoiced sales (the ""service fees"").']",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.64,0.552,33,False
23,"['zogenix shall have the right to terminate this agreement immediately upon written notice to distributor (i) if distributor or any of its affiliates or sub-distributors, directly or indirectly through any third party, commences any interference or opposition proceeding with respect to, challenges the validity or enforceability of, or opposes any extension of or the grant of a supplementary protection certificate with respect to, any zogenix patent (or any related patent owned or controlled by zogenix outside the territory); (ii) if zogenix determines that distributor or its affiliates or sub- distributors are, or have caused or shall cause any zogenix indemnitee to be, in violation of the fcpa or any other applicable laws; or (iii) if zogenix decides to withdraw the product from the market in the territory or otherwise believes that the promotion of the product in the field in the territory presents a substantial risk of harm or injury to consumers which risk is unacceptable according to established principles of medical ethics.', ""distributor acknowledges zogenix's exclusive ownership of the product trademarks and agrees not to take any action inconsistent with such ownership."", ""distributor acknowledges zogenix's exclusive ownership of the zogenix trademarks and agrees not to take any action inconsistent with such ownership."", 'distributor shall not, and shall cause its affiliates not to, (i) use, seek to register, or otherwise claim rights in the territory in any trademark that is confusingly similar to, misleading or deceptive with respect to, or that materially dilutes, any of the product trademarks, or (ii) knowingly do, cause to be done, or knowingly omit to do any act, the doing, causing or omitting of which endangers, undermines, impairs, destroys or similarly affects, in any material respect, the validity or strength of any of the product trademarks (including any registration or pending registration application relating thereto) or the value of the goodwill pertaining to any of the product trademarks.', 'distributor shall not, and shall cause its affiliates not to, (i) use, seek to register, or otherwise claim rights in any trademark that is confusingly similar to, misleading or deceptive with respect to, or that materially dilutes, any of the zogenix trademarks, or (ii) knowingly do, cause to be done, or knowingly omit to do any act, the doing, causing or omitting of which endangers, undermines, impairs, destroys or similarly affects, in any material respect, the validity or strength of any of the zogenix trademarks (including any registration or pending registration application relating thereto) or the value of the goodwill pertaining to any of the zogenix trademarks.']",Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Agreement,0.4041,0.3192,420,False
24,"['at the time of entering this agreement, each party shall be fully insured and shall duly maintain such insurance during the term of this agreement and thereafter for so long as it customarily maintains insurance for itself for similar products and activities.', 'each party shall maintain (a) comprehensive general liability insurance (including without limitation, coverage for bodily injury, personal injury, property damage, casualty loss and contractual and trademark liability); and (b) product liability insurance, providing full indemnification and defense against claims, liabilities, damages, demands and causes of action, alleged or actual, arising out of any defects in or use of the product under this agreement (including manufacturing, design, warning, or instruction claims), in such amounts as it customarily maintains for similar products and activities, but in no event less than $5,000,000 per individual claim and $10,000,000 in the aggregate', ""each party shall cause such insurance policies to provide that the other party shall be given at least thirty (30) days' notice of any cancellation, termination or change in such insurance.""]",Insurance,Insurance,Insurance,Insurance,DistilBERT,0.8759,0.8648,170,False
25,"['all such products, services, concepts, methods, techniques, and new information will be deemed to be our sole and exclusive property and works made-for- hire for<omitted>us.', 'you agree that all other data that you create or collect in connection with the system, and in connection with your operation of the franchised business (including customer lists and transaction data), is and will be owned exclusively by us during the term of, and after termination or expiration of, this agreement.', 'you hereby grant to us (and agree to obtain from your affiliates, owners, employees, and/or contractors), a perpetual, non-exclusive, and worldwide right to use any such ideas, concepts, methods, techniques and products in any businesses that we and/or our affiliates, franchisees and designees operate. we will have the right to use those ideas, concepts, methods, techniques, and/or products without making payment to you. you agree not to use or allow any other person or entity to use any such concept, method, technique or product without obtaining our prior written approval.']",Ip Ownership Assignment,License Grant,Irrevocable Or Perpetual License,Irrevocable Or Perpetual License,SVM,0.3692,0.2464,167,False
26,"['dexcel shall order the packaging materials required for the product packaging (including, but not limited to, all labeling); provided that such orders shall not exceed the forecasted demand of such materials for the next following twelve (12) months']",Volume Restriction,Minimum Commitment,Volume Restriction,Volume Restriction,SVM,0.3118,0.1722,38,False
27,"[""except for a termination of this agreement resulting from distributor's breach of section 9.0 (proprietary rights and software licensing) or section 19.0(confidential information), upon termination or expiration of this agreement, distributor may continue to use, in accordance with the terms and conditions of this agreement, products shipped to it by cisco prior to the date of termination or expiration."", ""in the event of termination by cisco for convenience, termination by distributor for cisco's material breach, or expiration of this agreement where cisco has provided distributor with written notice from an authorized representative of its intention not to renew the agreement, cisco agrees to repurchase all product in distributor's inventory within [*****] days following the effective date of termination or expiration."", ""cisco agrees to repurchase all product in distributor's inventory within [*****] days following the effective date of termination or expiration."", 'within [*****] days following the effective date of termination or expiration, distributor shall return to cisco all product held in inventory as of the effective date of termination.']",Post-Termination Services,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.6832,0.6582,168,False
28,"[""the company shall have unlimited rights of utilization of the professional's image in all advertising, promotion, publicity and other forms of communication with any part during the term of this agreement, it being the intent of the professional that the company's utilization of the professional's image shall be at the discretion of the company.""]",Unlimited/All-You-Can-Eat-License,Exclusivity,License Grant,License Grant,SVM,0.2656,0.1674,54,False
29,"[""notwithstanding anything to the contrary herein, in no event shall s2k be entitled to receive fees or compensation that would cause a fund's sales charges to exceed the maximum amount allowed under finra rules or applicable law."", 'any and all claims, losses, cost or expenses shall be limited to actual and direct costs.', 'in no event shall any party be responsible to the other for indirect, special or consequential damages.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6611,0.5128,70,False
30,"['a change of control shall occur with respect to the manufacturer, unless subcontractor shall have expressly consented to such change of control in writing.', 'in the event of a change of control (as defined below) this agreement shall immediately terminate.']",Change Of Control,Change Of Control,Change Of Control,Change Of Control,Agreement,0.4693,0.3931,40,False
